no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
757,AP021,Mi basah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP021#AndraFarm,Olahan,AP021,-,Serealia,Wet noodles,2.1,80.0,6.8,,88.0,13.0,13.5,14.0,14.0,,3.3,63.0,,0.6,,,0.4,0.1,0.06,,,,,
758,BP049,Mi golosor,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP049#AndraFarm,Olahan,BP049,-,Umbi,Golosor noodles,0.2,82.9,0.2,,71.0,5.0,,117.0,15.9,112.0,0.8,,,0.2,,0.02,,0.1,,0.05,,,,
759,AP022,Mi kering,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP022#AndraFarm,Olahan,AP022,-,Serealia,Dry noodles,1.4,10.6,3.9,,339.0,143.0,83.0,31.0,6.3,,1.7,760.0,2.2,10.0,,0.08,1.9,0.4,0.29,,,,,
760,AP084,Mie aceh rebus,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP084#AndraFarm,Olahan,AP084,-,Serealia,Acehnese boiled noodles,1.1,74.6,1.4,,113.0,44.0,36.0,22.0,18.1,,3.2,191.0,,3.0,,,0.3,,0.2,,,,,
761,AP085,Mie ayam,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP085#AndraFarm,Olahan,AP085,-,Serealia,Chicken noodle,0.8,78.6,1.8,,102.0,51.0,,262.0,10.5,166.0,3.9,279.0,,6.2,39.0,,,,,0.85,,,,
762,AP086,Mie bakso,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP086#AndraFarm,Olahan,AP086,-,Serealia,Meatball noodles,0.8,74.5,1.9,,114.0,53.0,,286.0,16.4,180.0,3.0,760.0,,5.3,17.0,,,0.1,,0.16,,,,
763,BP050,Mie Bendo,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP050#AndraFarm,Olahan,BP050,-,Umbi,Bendo Noodle,0.2,11.5,2.8,2000.0,353.0,14.0,49.2,28.0,88.0,,,9.0,0.1,0.3,,,0.1,2.4,0.5,0.02,0.0,,,
764,AP087,Mie celon,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP087#AndraFarm,Olahan,AP087,-,Serealia,Celon noodles,1.2,75.9,1.4,,102.0,84.0,112.0,12.0,17.8,,2.1,451.0,,3.0,,,0.5,,0.1,,,,,
765,AP088,Mie pangsit basah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP088#AndraFarm,Olahan,AP088,-,Serealia,Soggy dumpling noodles,0.7,79.2,2.0,,105.0,48.0,,208.0,9.4,620.0,4.9,530.0,,5.9,25.0,,,,,0.46,,,,
766,BP051,Mie Sagu,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP051#AndraFarm,Olahan,BP051,-,Umbi,Sago Noodles,0.1,52.8,0.3,2000.0,190.0,7.0,2.6,8.0,46.5,,0.4,10.0,,0.2,,0.4,,1.4,0.1,,0.0,,,
767,KR007,"Minyak hiu, hati",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR007#AndraFarm,Tunggal,KR007,-,Lemak,"Shark oil, liver",,,,,902.0,,,,,,100.0,,,,21212.0,,,,,,,,,
768,KR008,Minyak ikan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR008#AndraFarm,Tunggal,KR008,-,Lemak,Fish oil,,,,,902.0,,,,,,100.0,,,,24242.0,,,,,,,,,
769,KR009,Minyak kacang tanah,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR009#AndraFarm,Tunggal,KR009,-,Lemak,Peanut oil,,,,,902.0,,,,,,100.0,,,,,,,,,,,,,
770,KR010,Minyak kedelai,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR010#AndraFarm,Tunggal,KR010,-,Lemak,Soybean oil,,0.1,,,883.0,,0.1,,,,99.9,,,,,,,,,,,,,
771,KR011,Minyak kelapa,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR011#AndraFarm,Tunggal,KR011,-,Lemak,Coconut oil,1.0,,,,870.0,,,,,,98.0,,,1.0,,,,,,,,,,
772,KR012,Minyak kelapa sawit,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR012#AndraFarm,Tunggal,KR012,-,Lemak,Palm oil,,,,18181.0,884.0,,,,,,100.0,,,,,,,,,,,,,
773,KR013,Minyak wijen,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR013#AndraFarm,Tunggal,KR013,-,Lemak,Sesame oil,,0.1,0.1,,881.0,5.0,20.0,10.0,,,99.7,2.0,0.1,0.2,,0.07,,,,0.01,,,,
774,KR014,Minyak Zaitun,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=KR014#AndraFarm,Tunggal,KR014,-,Lemak,Olive oil,,,1.2,,884.0,,,14.0,,,100.0,7.0,5.0,,,,,,,,,,,
