no,kode,nama_bahan,url_detail,Jenis pangan,Kode Baru,Kode Lama,Kelompok,Nama Inggris,Abu (Ash),Air (Water),"Besi (Fe), Ferrum, Iron",β-Karoten (Carotenes),Energi (Energy),"Fosfor (P), Phosphorus","Kalium (K), Potassium","Kalsium (Ca), Calcium",Karbohidrat (CHO),Karoten total (Re),Lemak (Fat),"Natrium (Na), Sodium","Niasin, C6H5NO2, Niacin",Protein,"Retinol (vit A), C20H30O",Riboflavin (vitamin B2),"Seng (Zn), Zinc",Serat (Fiber),"Tembaga (Cu), Copper",Tiamina (vitamin B1),Vitamin C,Spesies,Genus,Familia
1,GP053,Abon haruwan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP053#AndraFarm,Olahan,GP053,-,Ikan dsb,Haruwan Floss (abon),6.4,11.6,0.5,,513.0,25.0,15.0,25.0,21.3,,37.0,61.0,,23.7,,,0.2,,,,,,,
2,GP054,Abon ikan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=GP054#AndraFarm,Olahan,GP054,-,Ikan dsb,Shredded fish,10.1,6.4,,,435.0,,,,36.1,,20.2,,24.3,27.2,,0.8,,,,,,Anabas testudineus,Anabas,Anabantidae
3,DR001,"Akar tonjong, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR001#AndraFarm,Tunggal,DR001,-,Sayur,"Tonjong root, fresh",1.0,86.7,1.3,83.0,45.0,125.0,1147.1,72.0,10.8,90.0,0.4,96.0,1.9,1.1,,0.03,0.2,1.2,0.02,0.02,2.0,Nelumbo micifera,Nelumbo,Nelumbonaceae
4,DR002,"Ale,toge, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR002#AndraFarm,Tunggal,DR002,-,Sayur,"Ale, bean sprouts, fresh",0.7,90.6,2.0,,37.0,248.0,105.0,50.0,3.8,35.0,0.5,2.0,0.6,4.4,,0.09,0.4,1.7,0.16,0.02,46.0,Acacia leucophloea (Roxb.) Willd.,,
5,ER001,"Alpukat, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER001#AndraFarm,Tunggal,ER001,-,Buah,"Avocado, fresh",0.6,84.3,0.9,189.0,85.0,20.0,278.0,10.0,7.7,180.0,6.5,2.0,1.0,0.9,,0.08,0.4,,0.2,0.05,13.0,Persea gratissima (Americana),Persea,Lauraceae
6,AP026,Amparan tatak,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP026#AndraFarm,Olahan,AP026,-,Serealia,Tataran (Amparan tatak),0.8,58.4,,,191.0,,,,34.0,,5.5,,,1.3,,,,,,,,,,
7,CP015,Ampas kacang hijau,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP015#AndraFarm,Olahan,CP015,-,Kacang,Green bean dregs,0.6,70.6,1.3,,96.0,150.0,,133.0,19.1,,0.6,,,3.7,,,,2.7,,0.05,,,,
8,CP017,Ampas tahu kukus,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP017#AndraFarm,Olahan,CP017,-,Kacang,Steamed tofu pulp,0.6,82.5,1.3,,75.0,60.0,,203.0,10.7,,2.1,,,4.1,,,,5.1,,0.07,,,,
9,CP018,"Ampas tahu, kering",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP018#AndraFarm,Olahan,CP018,-,Kacang,"Tofu waste, dry",5.8,9.0,4.0,,414.0,29.0,1055.7,19.0,41.3,,18.3,45.0,0.5,26.6,,0.1,2.8,,0.99,0.2,,,,
10,CP016,"Ampas tahu, mentah",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=CP016#AndraFarm,Olahan,CP016,-,Kacang,"Tofu waste, raw",0.6,84.1,1.0,,67.0,88.0,184.5,460.0,8.1,,2.1,8.0,0.1,5.0,,0.02,0.5,4.1,0.17,0.06,,,,
11,FR001,"Anak sapi, daging, gemuk, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR001#AndraFarm,Tunggal,FR001,-,Daging,"Veal, meat, high fat, fresh",5.2,62.0,2.2,37.0,184.0,200.0,490.1,10.0,,,14.0,118.0,7.0,18.8,12.0,0.17,5.8,,0.17,0.13,,Bos javanicus,Bos,Bovidae
12,FR002,"Anak sapi, daging, kurus, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR002#AndraFarm,Tunggal,FR002,-,Daging,"Veal, meat, low fat, fresh",1.4,69.0,2.9,30.0,174.0,201.0,399.8,11.0,,,10.0,96.0,5.7,19.6,6.0,0.14,4.8,,0.14,0.08,,Bos javanicus,Bos,Bovidae
13,FR003,"Anak sapi, daging, sedang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR003#AndraFarm,Tunggal,FR003,-,Daging,"Veal, meat, medium, fresh",0.9,68.0,2.9,83.0,190.0,193.0,412.7,11.0,,,12.0,99.0,5.9,19.1,12.0,0.15,4.9,,0.14,0.14,,Bos javanicus,Bos,Bovidae
14,DR003,"Andaliman, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR003#AndraFarm,Tunggal,DR003,-,Sayur,"Andaliman, fresh",2.2,74.2,2.9,,99.0,107.0,,383.0,18.0,6300.0,1.0,,,4.6,,,,8.5,,3.0,15.0,Zanthoxylum acanthopodium DC.,Zanthoxylum,Rutaceae
15,DR004,"Andewi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR004#AndraFarm,Tunggal,DR004,-,Sayur,"Endive, fresh",1.1,91.8,1.0,1717.0,226.0,66.0,414.6,33.0,5.3,,0.2,29.0,0.5,1.6,,0.09,1.0,4.1,0.13,0.14,10.0,Cichorium endivia L,Cichorium,Compositae / Asteraceae
16,ER002,"Anggur hutan, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER002#AndraFarm,Tunggal,ER002,-,Buah,"Forest vine, fresh",0.2,92.3,1.1,,30.0,12.0,,39.0,6.8,1.0,0.2,,,0.5,,,,1.2,,0.01,3.0,,,
17,FR004,"Angsa, daging, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR004#AndraFarm,Tunggal,FR004,-,Daging,"Goose, meat, fresh",1.0,51.1,1.8,,349.0,188.0,299.2,15.0,,,31.5,71.0,7.1,16.4,273.0,0.24,1.7,,0.26,0.1,,Cygnus cygnus dom.,Cygnus,Anatidae
18,DP023,"Anyang, sayur",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP023#AndraFarm,Olahan,DP023,-,Sayur,"Anyang, vegetables",1.5,76.9,2.9,3263.0,126.0,1.0,181.0,180.0,10.3,,7.9,290.0,,3.4,,,1.2,5.4,0.3,0.2,,,,
19,AP027,"Apang kukus, kue",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP027#AndraFarm,Olahan,AP027,-,Serealia,"Steamed rice, cake",0.5,49.5,,,202.0,,,,46.7,,0.3,,,3.0,,,,,,,,,,
20,ER003,"Apel malang, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER003#AndraFarm,Tunggal,ER003,-,Buah,"Malang apple, fresh",0.3,85.9,0.6,26.0,57.0,18.0,175.4,9.0,12.8,2240.0,0.4,4.0,0.1,0.5,,0.03,,0.8,110.16,0.05,5.0,,,
21,ER004,"Apel, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER004#AndraFarm,Tunggal,ER004,-,Buah,"Apple, fresh",0.3,84.1,0.3,30.0,58.0,10.0,130.0,6.0,14.9,90.0,0.4,2.0,0.1,0.3,,0.03,0.3,2.6,124.2,0.04,5.0,,,
22,AP028,"Apem, kue",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP028#AndraFarm,Olahan,AP028,-,Serealia,"Apem, cake",0.5,63.1,,,148.0,,,,33.9,,0.5,,,2.0,,,,,,,,,,
23,ER005,"Arbai, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=ER005#AndraFarm,Tunggal,ER005,-,Buah,"Arbein, fresh",0.5,89.9,0.8,2.0,37.0,27.0,43.0,28.0,8.3,60.0,0.5,2.0,0.1,0.8,,,18.9,,63.52,0.03,60.0,Rubus rosifolius J.E. smith,Rubus,Rosaceae
24,DP024,"Ares, sayur",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP024#AndraFarm,Olahan,DP024,-,Sayur,"Ares, vegetables",3.0,77.7,1.5,6.0,113.0,5.0,1030.0,63.0,11.2,,7.2,1413.0,0.5,0.9,,,3.8,4.7,0.7,0.1,,,,
25,BR001,"Arrowroot, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BR001#AndraFarm,Tunggal,BR001,-,Umbi,"Arrowroot, fresh",1.2,73.5,1.7,15.0,102.0,35.0,626.6,28.0,24.1,,0.2,36.0,2.3,1.0,,0.1,0.8,1.7,0.2,0.06,2.0,Maranta arundinacea L.,Maranta,Marantaceae
26,DP025,Arwan sirsir,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP025#AndraFarm,Olahan,DP025,-,Sayur,Arwan sirsir,2.9,59.0,2.4,1578.0,277.0,40.0,320.0,120.0,10.7,,25.0,240.0,,2.4,,0.2,0.9,4.6,0.2,0.1,11.0,,,
27,NR001,"Asam arang coklat, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR001#AndraFarm,Tunggal,NR001,-,Bumbu,"Chocolate carbonic sour, fresh",1.4,66.1,4.3,745.0,130.0,113.0,,79.0,30.9,,1.1,13.0,,0.5,,0.2,,1.5,,0.01,,,,
28,NR002,"Asam arang merah, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR002#AndraFarm,Tunggal,NR002,-,Bumbu,"Red carbonic sour, fresh",1.4,75.9,4.6,529.0,99.0,300.0,95.7,69.0,20.3,,1.6,2.0,1.6,0.8,,0.34,0.1,2.8,,0.01,,Garcinia atroviridis,Garcinia,Clusiaceae
29,NR003,"Asam kandis, kering",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR003#AndraFarm,Tunggal,NR003,-,Bumbu,"Candis sour, dried",2.0,32.2,4.4,0.0,261.0,657.0,341.4,192.0,63.3,,1.6,26.0,0.4,0.9,,,0.3,5.0,0.4,,,Garcinia atroviridis,Garcinia,Clusiaceae
30,NR004,"Asam kandis, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR004#AndraFarm,Tunggal,NR004,-,Bumbu,"Candis sour, fresh",1.1,81.5,2.5,41.0,75.0,139.0,93.2,63.0,16.1,,1.1,7.0,0.1,0.2,,,0.1,3.4,0.1,0.01,,Garcinia atroviridis,Garcinia,Clusiaceae
31,NR005,"Asam masak pohon, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR005#AndraFarm,Tunggal,NR005,-,Bumbu,"Ripe tamarind tree, fresh",2.7,31.4,0.6,9.0,267.0,113.0,139.5,74.0,62.5,30.0,0.6,9.0,0.7,2.8,,0.04,0.1,1.2,0.09,0.34,2.0,Tamarindus indica,Tamarindus,Fabaceae
32,NR006,"Asam payak, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR006#AndraFarm,Tunggal,NR006,-,Bumbu,"Payak sour, fresh",1.6,65.1,5.7,,135.0,39.0,,60.0,32.1,,0.4,0.0,,0.8,,,,10.0,,,,,,
33,DP022,"Asinan Bogor, sayuran",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DP022#AndraFarm,Olahan,DP022,-,Sayur,"Bogor pickles, vegetables",0.7,78.0,1.2,,98.0,17.0,,314.0,14.8,146.0,2.6,483.0,,3.9,10.0,,,0.5,,0.28,5.0,,,
34,FP021,"Ayam goreng church texas, dada",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP021#AndraFarm,Olahan,FP021,-,Daging,"Texas church fried chicken, breast",1.5,42.2,5.6,,338.0,221.0,369.5,79.0,0.4,80.0,20.6,800.0,12.1,35.2,16.0,0.16,1.1,,0.16,0.52,,,,
35,FP023,"Ayam goreng church texas, sayap",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP023#AndraFarm,Olahan,FP023,-,Daging,"Texas church fried chicken, wings",1.3,47.2,3.0,,295.0,179.0,237.2,81.0,1.5,50.0,16.0,771.0,6.2,34.0,13.0,0.13,1.2,,0.16,0.44,,,,
36,FP022,"Ayam goreng church,texas paha",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP022#AndraFarm,Olahan,FP022,-,Daging,"Church fried chicken, Texas thighs",1.3,50.3,4.1,,287.0,176.0,257.0,99.0,1.7,30.0,15.7,723.0,5.3,31.0,22.0,0.2,1.5,,0.17,0.66,,,,
37,FP024,"Ayam goreng kalasan, paha",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP024#AndraFarm,Olahan,FP024,-,Daging,"Kalasan fried chicken, thigh",2.9,46.2,5.8,,275.0,237.0,321.9,116.0,1.3,50.0,12.2,176.0,,37.4,10.0,,1.5,,0.16,0.1,,,,
38,FP025,"Ayam goreng kentucky, dada",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP025#AndraFarm,Olahan,FP025,-,Daging,"Kentucky Fried Chicken, breast",2.5,46.5,5.5,,298.0,284.0,342.0,90.0,0.1,50.0,16.8,741.0,,34.2,36.0,,1.0,,0.07,0.19,,,,
39,FP026,"Ayam goreng Kentucky, paha",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP026#AndraFarm,Olahan,FP026,-,Daging,"Kentucky fried chicken, thigh",2.0,48.7,6.9,,286.0,248.0,265.2,89.0,1.1,20.0,16.1,746.0,5.5,32.1,31.0,0.21,2.3,,0.09,0.5,,,,
40,FP027,"Ayam goreng Kentucky,sayap",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP027#AndraFarm,Olahan,FP027,-,Daging,"Kentucky fried chicken, wings",2.6,44.7,4.4,,297.0,227.0,248.4,103.0,1.6,70.0,15.2,807.0,6.5,35.9,22.0,0.14,1.4,,0.06,0.73,,,,
41,FP028,Ayam goreng mbok berek dada,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP028#AndraFarm,Olahan,FP028,-,Daging,"Mbok Berek fried chicken, breast",2.8,43.4,5.4,,295.0,278.0,,114.0,1.0,50.0,13.6,,,39.2,8.0,,,,,0.19,,,,
42,FP029,"Ayam goreng pasundan, dada",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP029#AndraFarm,Olahan,FP029,-,Daging,"Pasundan fried chicken, breast",2.3,50.1,7.5,,246.0,260.0,,90.0,0.7,70.0,9.0,,,37.9,6.0,,,,,0.16,,,,
43,FP030,"Ayam goreng pasundan, paha",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP030#AndraFarm,Olahan,FP030,-,Daging,"Pasundan fried chicken, thigh",2.5,52.8,7.3,,245.0,283.0,,90.0,0.3,40.0,11.4,,,33.1,8.0,,,,,0.37,,,,
44,FP031,"Ayam goreng pioneer, dada",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP031#AndraFarm,Olahan,FP031,-,Daging,"Pioneer fried chicken, breast",2.7,44.5,6.8,,295.0,236.0,,108.0,0.6,80.0,14.7,,,37.4,16.0,,,,,0.1,,,,
45,FP032,"Ayam goreng sukabumi, dada",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP032#AndraFarm,Olahan,FP032,-,Daging,"Sukabumi fried chicken, breast",3.4,49.8,6.1,,244.0,154.0,,81.0,1.0,80.0,9.2,,,36.7,20.0,,,,,0.66,,,,
46,FP033,"Ayam goreng sukabumi, paha",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP033#AndraFarm,Olahan,FP033,-,Daging,"Sukabumi fried chicken, thigh",3.6,46.0,5.4,,283.0,106.0,,68.0,0.5,60.0,14.3,,,35.7,11.0,,,,,0.36,,,,
47,FP034,"Ayam taliwang, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP034#AndraFarm,Olahan,FP034,-,Daging,"Taliwang chicken, cooking",1.5,57.5,2.0,,264.0,164.0,408.0,94.0,2.7,,20.1,507.0,,18.2,1067.0,,12.3,,0.4,,,,,
48,FP001,"Ayam, ampela, goreng",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP001#AndraFarm,Olahan,FP001,-,Daging,"Chicken, gizzard, fried",1.8,4.8,4.9,,270.0,314.0,,129.0,9.9,,11.2,980.0,4.7,32.3,56.0,,3.3,,0.12,0.21,,,,
49,FR005,"Ayam, daging, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR005#AndraFarm,Tunggal,FR005,-,Daging,"Chicken, meat, fresh",0.9,55.9,1.5,5.0,298.0,200.0,385.9,14.0,,,25.0,109.0,10.4,18.2,245.0,0.14,2.0,,0.11,0.08,,Gallus gallus domesticus,Gallus,Phasianidae
50,FR006,"Ayam, dideh/darah, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR006#AndraFarm,Tunggal,FR006,-,Daging,"Black puding (chicken blood), fresh",1.6,82.0,1.3,,75.0,9.0,234.0,15.0,0.7,,1.9,337.0,0.6,13.8,15.0,,,,,0.02,,,,
51,FR007,"Ayam, hati, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR007#AndraFarm,Tunggal,FR007,-,Daging,"Chicken liver, raw",1.5,53.4,15.8,169.0,261.0,373.0,22.9,118.0,1.6,28000.0,16.1,1068.0,4.1,27.4,4957.0,4.38,0.0,,0.84,0.64,,Gallus gallus domesticus,Gallus,Phasianidae
52,FP002,"Ayam, usus, goreng",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP002#AndraFarm,Olahan,FP002,-,Daging,"Chicken, intestine, fried",10.1,4.6,8.4,,473.0,458.0,,1407.0,13.9,224.0,26.3,,,45.2,6.0,,,,,0.57,,,,
53,FP035,"Babi hutan masak rica, masakan",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FP035#AndraFarm,Olahan,FP035,-,Daging,"Wild boar cooking rica, cooking",2.7,56.2,1.2,,491.0,144.0,327.0,18.0,0.2,,16.3,1415.0,,24.6,2193.0,0.47,2.6,,0.2,0.61,0.0,,,
54,FR008,"Babi, daging, gemuk,segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR008#AndraFarm,Tunggal,FR008,-,Daging,"Pork, medium fat, fresh",1.1,42.0,1.8,,453.0,117.0,819.3,7.0,,,45.0,112.0,5.9,11.9,,0.59,0.4,,0.22,0.58,,Sus scrofa domesticus,Sus,Suidae
55,FR009,"Babi, daging, kurus, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR009#AndraFarm,Tunggal,FR009,-,Daging,"Pork, lean, fresh",0.9,50.0,2.1,,371.0,151.0,706.3,8.0,,,35.0,97.0,5.4,14.1,,0.33,0.4,,0.19,0.67,,Sus scrofa domesticus,Sus,Suidae
56,FR010,"Babi, ginjal, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR010#AndraFarm,Tunggal,FR010,-,Daging,"Pork, kidney, fresh",1.2,77.1,8.0,10.0,110.0,246.0,390.0,11.0,0.8,,4.6,139.0,9.1,16.3,39.0,1.59,3.2,,0.71,0.58,13.0,,,
57,FR011,"Babi, hati, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=FR011#AndraFarm,Tunggal,FR011,-,Daging,"Pork, liver, fresh",1.5,72.3,18.0,6.0,129.0,362.0,447.0,10.0,1.7,,4.8,110.0,5.7,19.7,4303.0,1.16,0.1,,0.58,0.4,23.0,,,
58,BP013,Bagea kelapa asin,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP013#AndraFarm,Olahan,BP013,-,Umbi,"Bagea coconut, salted",1.3,3.5,0.3,,450.0,38.0,,38.0,78.1,,13.9,74.0,,3.2,,,0.2,,0.2,0.3,,,,
59,BP014,Bagea kelapa manis,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP014#AndraFarm,Olahan,BP014,-,Umbi,"Bagea coconut, sweet",1.3,3.0,0.3,,452.0,39.0,,38.0,80.6,0.0,13.8,75.0,,1.3,,,0.2,,0.2,,,,,
60,BP015,Bagea kenari asin,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP015#AndraFarm,Olahan,BP015,-,Umbi,"Bagea walnuts, salty",1.3,2.8,0.4,,529.0,40.0,,38.0,63.6,,29.1,74.0,,3.2,,,0.2,,0.2,0.3,,,,
61,BP016,Bagea kenari manis,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP016#AndraFarm,Olahan,BP016,-,Umbi,"Bagea walnut, sweet",1.3,3.1,0.3,,523.0,39.0,,38.0,64.2,,28.2,74.0,,3.2,,,0.2,,0.2,0.3,,,,
62,BP017,Bagea kw 1,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP017#AndraFarm,Olahan,BP017,-,Umbi,Bagea kw 1,0.6,7.2,4.9,,416.0,77.0,,49.0,76.3,312.0,9.4,,2.6,6.5,13.0,,,0.4,,0.08,,,,
63,BP018,Bagea kw 2,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP018#AndraFarm,Olahan,BP018,-,Umbi,Bagea kw 2,1.1,7.9,7.6,,382.0,120.0,,172.0,87.2,,3.5,,,0.3,,,,0.9,,0.02,,,,
64,AP030,"Bakpia, kue",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP030#AndraFarm,Olahan,AP030,-,Serealia,"Bakpia, cake",1.6,38.9,4.5,,272.0,117.0,,194.0,44.1,1392.0,6.7,,2.9,8.7,,1.0,,0.9,,0.31,,,,
65,DR005,"Bakung, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR005#AndraFarm,Tunggal,DR005,-,Sayur,"Welsh onion, fresh",1.1,92.5,0.5,1080.0,27.0,20.0,340.0,19.0,4.2,,0.2,37.0,0.3,2.0,,0.1,0.3,3.8,0.2,0.2,42.0,Allium fistulosum L.,Allium,Amaryllidaceae
66,AP031,Bakwan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP031#AndraFarm,Olahan,AP031,-,Serealia,Bakwan,2.1,40.5,7.0,,280.0,79.0,,204.0,39.0,,10.2,,,8.2,,,,3.4,,0.08,,,,
67,NP001,Balichong,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NP001#AndraFarm,Olahan,NP001,-,Bumbu,Tiny shrimp fermented (Balichong),3.6,59.9,2.9,,152.0,210.0,310.0,380.0,22.9,,0.8,120.0,0.2,13.2,34.0,0.08,1.1,1.5,0.8,0.01,,,,
68,DR006,"Baligo, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR006#AndraFarm,Tunggal,DR006,-,Sayur,"Baligo (Wax gourd), fresh",0.3,96.1,0.4,,15.0,19.0,131.1,19.0,3.0,,0.2,2.0,0.3,0.4,,0.02,0.6,0.4,0.02,0.04,13.0,Benincasa pruriens (Parkinson),Benincasa,Cucurbitaceae
69,AP032,Bantal,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP032#AndraFarm,Olahan,AP032,-,Serealia,Pillow,0.6,52.3,0.4,,190.0,,84.0,9.0,43.5,,0.3,164.0,3.6,3.3,,0.02,0.9,3.4,0.2,0.27,,,,
70,EP001,Barongko,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=EP001#AndraFarm,Olahan,EP001,-,Buah,Barongko,0.7,66.7,1.2,,159.0,65.0,78.0,35.0,23.5,,5.8,46.0,,3.1,,,0.6,,0.3,,8.0,,,
71,AP033,Baruasa,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP033#AndraFarm,Olahan,AP033,-,Serealia,Baruasa,0.7,5.3,,,417.0,,,,79.3,,8.2,,,6.5,,,,,,,,,,
72,AP034,Batar daan,https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=AP034#AndraFarm,Olahan,AP034,-,Serealia,Batar daan,0.7,75.3,0.6,,107.0,30.0,90.0,20.0,19.6,,2.2,200.0,,2.2,,0.02,,,0.1,0.18,,,,
73,BR002,"Batatas gembili, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BR002#AndraFarm,Tunggal,BR002,-,Umbi,"Lesser yam (Batatas gembili), fresh",0.7,76.7,0.2,,76.0,40.0,200.0,,16.0,,0.9,10.0,0.9,1.1,,,0.3,4.2,0.2,0.06,,Dioscorea esculenta L.,Dioscorea,Dioscoreaceae
74,BP001,"Batatas kelapa, ubi, bakar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP001#AndraFarm,Olahan,BP001,-,Umbi,"Coconut, sweet potato, roasted batatas",0.7,73.2,0.2,,110.0,46.0,230.0,1.0,23.4,,1.1,12.0,,1.4,,,0.3,4.5,0.2,1.13,,,,
75,BP002,"Batatas kelapa, ubi, kukus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP002#AndraFarm,Olahan,BP002,-,Umbi,"Coconut, sweet potato, steamed batatas",1.8,75.7,0.2,,92.0,42.0,209.0,,21.0,,0.3,10.0,0.7,1.2,,,0.3,4.1,0.2,0.28,,,,
76,BR003,"Batatas kelapa, ubi, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BR003#AndraFarm,Tunggal,BR003,-,Umbi,"Yam, batatas kelapa, fresh",0.7,76.1,0.2,,89.0,40.0,340.0,,21.0,,0.1,20.0,0.9,1.1,,,0.2,4.0,0.1,0.38,,,,
77,BP003,"Batatas tali, ubi, rebus",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=BP003#AndraFarm,Olahan,BP003,-,Umbi,"Batatas, sweet potatoes, boiled",1.8,53.2,0.3,,182.0,80.0,402.0,1.0,42.2,,0.4,20.0,1.3,2.4,,,0.6,9.2,0.3,0.27,,,,
78,DR007,"Bawang bombay, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=DR007#AndraFarm,Tunggal,DR007,-,Sayur,"Onion, fresh",0.6,87.5,0.5,788.0,43.0,44.0,9.6,32.0,10.3,50.0,0.2,12.0,0.4,1.4,,0.21,0.3,2.0,0.1,0.03,9.0,Allium cepa L. cv.,Allium,Amaryllidaceae
79,NR007,"Bawang merah, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR007#AndraFarm,Tunggal,NR007,-,Bumbu,"Shallots, fresh",1.0,88.0,0.8,2.0,46.0,40.0,178.6,36.0,9.2,,0.3,7.0,0.2,1.5,,0.04,0.2,1.7,0.06,0.03,2.0,Allium tistulosum,Allium,Amaryllidaceae
80,NR008,"Bawang putih, segar",https://www.andrafarm.com/_andra.php?_i=daftar-tkpi&kmakan=NR008#AndraFarm,Tunggal,NR008,-,Bumbu,"Garlic, fresh",1.8,71.0,1.0,,112.0,134.0,665.7,42.0,23.1,,0.2,46.0,0.3,4.5,,0.07,0.4,0.6,0.09,0.22,15.0,Allium sativum,Allium,Amaryllidaceae
